appendix transit amplifying cell	CL:0009027
appendix tuft cell	CL:0009020
arachnoid barrier cell	CL:4023097
arachnoid cap cell	CL:0002379
arcade cell	CL:0000418
arcuate artery cell	CL:1001135
arcuate artery endothelial cell	CL:1001213
arcuate artery smooth muscle cell	CL:1001214
arcuate nucleus of hypothalamus KNDy neuron	CL:4023127
arcuate vein cell	CL:1001142
arcuate vein endothelial cell	CL:1001220
arcuate vein smooth muscle cell	CL:1001221
argentaffin cell	CL:0000577
arterial endothelial cell	CL:1000413
arthroconidium	CL:0002387
arthrospore	CL:0002387
articular chondrocyte	CL:1001607
articular chondrocyte of knee joint	CL:2000007
ascospore	CL:0000607
astrocyte	CL:0000127
astrocyte of the cerebellum	CL:0002603
astrocyte of the cerebral cortex	CL:0002605
astrocyte of the forebrain	CL:0012000
astrocyte of the hippocampal formation	CL:0002604
astrocyte of the hippocampus	CL:0002604
astrocyte of the spinal cord	CL:0002606
astrocyte precursor cell	CL:4042022
astrocyte-restricted precursor	CL:4042022
astrocytic glia	CL:0000127
asymmetric bistratified amacrine cell	CL:0004238
atrial cardiac muscle cell	CL:0002129
atrial myocyte	CL:0002129
atrioventricular bundle cell	CL:0010005
atrioventricular node cell	CL:1000410
atrioventricular node myocyte	CL:1000410
attachment cell	CL:0000386
auditory epithelial cell	CL:0002491
auditory epithelial support cell	CL:0005014
auditory epithelial supporting cell	CL:0005014
auditory hair cell	CL:0000202
auditory receptor cell	CL:0000202
autonomic neuron	CL:0000107
axial mesodermal cell	CL:0007006
bacterial spore	CL:0000563
bag1 fiber	CL:4023005
bag2 fiber	CL:4023006
barrier cell	CL:0000215
basal	CL:0002324
basal cell	CL:0000646
basal cell of acinus of lactiferous gland	CL:1000468
basal cell of alveolus of lactiferous gland	CL:1000418
basal cell of bronchus	CL:1000349
basal cell of epidermis	CL:0002187
